"","value"
"2148","My hands shook, and I was making a bad job of it. When the woman"
"2149","stopped talking I looked up, and she was looking at me pretty curious"
"2150","and smiling a little. I put down the needle and thread, and let on to"
"2151","be interested—and I was, too—and says:"
"2152",""
"2153","“Three hundred dollars is a power of money. I wish my mother could get"
"2154","it. Is your husband going over there to-night?”"
"2155",""
"2156","“Oh, yes. He went up-town with the man I was telling you of, to get a"
"2157","boat and see if they could borrow another gun. They’ll go over after"
"2158","midnight.”"
"2159",""
"2160","“Couldn’t they see better if they was to wait till daytime?”"
"2161",""
"2162","“Yes. And couldn’t the nigger see better, too? After midnight he’ll"
"2163","likely be asleep, and they can slip around through the woods and hunt"
"2164","up his camp fire all the better for the dark, if he’s got one.”"
"2165",""
"2166","“I didn’t think of that.”"
"2167",""
"2168","The woman kept looking at me pretty curious, and I didn’t feel a bit"
"2169","comfortable. Pretty soon she says,"
"2170",""
"2171","“What did you say your name was, honey?”"
"2172",""
"2173","“M—Mary Williams.”"
"2174",""
"2175","Somehow it didn’t seem to me that I said it was Mary before, so I"
"2176","didn’t look up—seemed to me I said it was Sarah; so I felt sort of"
"2177","cornered, and was afeared maybe I was looking it, too. I wished the"
"2178","woman would say something more; the longer she set still the uneasier I"
"2179","was. But now she says:"
"2180",""
"2181","“Honey, I thought you said it was Sarah when you first come in?”"
"2182",""
"2183","“Oh, yes’m, I did. Sarah Mary Williams. Sarah’s my first name. Some"
"2184","calls me Sarah, some calls me Mary.”"
"2185",""
"2186","“Oh, that’s the way of it?”"
"2187",""
"2188","“Yes’m.”"
"2189",""
"2190","I was feeling better then, but I wished I was out of there, anyway. I"
"2191","couldn’t look up yet."
"2192",""
"2193","Well, the woman fell to talking about how hard times was, and how poor"
"2194","they had to live, and how the rats was as free as if they owned the"
"2195","place, and so forth and so on, and then I got easy again. She was right"
"2196","about the rats. You’d see one stick his nose out of a hole in the"
"2197","corner every little while. She said she had to have things handy to"
"2198","throw at them when she was alone, or they wouldn’t give her no peace."
"2199","She showed me a bar of lead twisted up into a knot, and said she was a"
"2200","good shot with it generly, but she’d wrenched her arm a day or two ago,"
"2201","and didn’t know whether she could throw true now. But she watched for a"
"2202","chance, and directly banged away at a rat; but she missed him wide, and"
"2203","said “Ouch!” it hurt her arm so. Then she told me to try for the next"
"2204","one. I wanted to be getting away before the old man got back, but of"
"2205","course I didn’t let on. I got the thing, and the first rat that showed"
"2206","his nose I let drive, and if he’d a stayed where he was he’d a been a"
"2207","tolerable sick rat. She said that was first-rate, and she reckoned I"
"2208","would hive the next one. She went and got the lump of lead and fetched"
"2209","it back, and brought along a hank of yarn which she wanted me to help"
"2210","her with. I held up my two hands and she put the hank over them, and"
"2211","went on talking about her and her husband’s matters. But she broke off"
"2212","to say:"
"2213",""
"2214","“Keep your eye on the rats. You better have the lead in your lap,"
"2215","handy.”"
"2216",""
"2217","So she dropped the lump into my lap just at that moment, and I clapped"
"2218","my legs together on it and she went on talking. But only about a"
"2219","minute. Then she took off the hank and looked me straight in the face,"
"2220","and very pleasant, and says:"
"2221",""
"2222","“Come, now, what’s your real name?”"
"2223",""
"2224","“Wh—what, mum?”"
"2225",""
"2226","“What’s your real name? Is it Bill, or Tom, or Bob?—or what is it?”"
"2227",""
"2228","I reckon I shook like a leaf, and I didn’t know hardly what to do. But"
"2229","I says:"
"2230",""
"2231","“Please to don’t poke fun at a poor girl like me, mum. If I’m in the"
"2232","way here, I’ll—”"
"2233",""
"2234","“No, you won’t. Set down and stay where you are. I ain’t going to hurt"
"2235","you, and I ain’t going to tell on you, nuther. You just tell me your"
"2236","secret, and trust me. I’ll keep it; and, what’s more, I’ll help you."
"2237","So’ll my old man if you want him to. You see, you’re a runaway"
"2238","’prentice, that’s all. It ain’t anything. There ain’t no harm in it."
"2239","You’ve been treated bad, and you made up your mind to cut. Bless you,"
"2240","child, I wouldn’t tell on you. Tell me all about it now, that’s a good"
"2241","boy.”"
"2242",""
"2243","So I said it wouldn’t be no use to try to play it any longer, and I"
"2244","would just make a clean breast and tell her everything, but she musn’t"
"2245","go back on her promise. Then I told her my father and mother was dead,"
"2246","and the law had bound me out to a mean old farmer in the country thirty"
"2247","mile back from the river, and he treated me so bad I couldn’t stand it"
"2248","no longer; he went away to be gone a couple of days, and so I took my"
"2249","chance and stole some of his daughter’s old clothes and cleared out,"
"2250","and I had been three nights coming the thirty miles. I traveled nights,"
"2251","and hid daytimes and slept, and the bag of bread and meat I carried"
"2252","from home lasted me all the way, and I had a-plenty. I said I believed"
"2253","my uncle Abner Moore would take care of me, and so that was why I"
"2254","struck out for this town of Goshen."
"2255",""
"2256","“Goshen, child? This ain’t Goshen. This is St. Petersburg. Goshen’s ten"
"2257","mile further up the river. Who told you this was Goshen?”"
"2258",""
"2259","“Why, a man I met at daybreak this morning, just as I was going to turn"
"2260","into the woods for my regular sleep. He told me when the roads forked I"
"2261","must take the right hand, and five mile would fetch me to Goshen.”"
"2262",""
"2263","“He was drunk, I reckon. He told you just exactly wrong.”"
"2264",""
"2265","“Well, he did act like he was drunk, but it ain’t no matter now. I got"
"2266","to be moving along. I’ll fetch Goshen before daylight.”"
"2267",""
"2268","“Hold on a minute. I’ll put you up a snack to eat. You might want it.”"
"2269",""
"2270","So she put me up a snack, and says:"
"2271",""
"2272","“Say, when a cow’s laying down, which end of her gets up first? Answer"
"2273","up prompt now—don’t stop to study over it. Which end gets up first?”"
"2274",""
"2275","“The hind end, mum.”"
"2276",""
"2277","“Well, then, a horse?”"
"2278",""
"2279","“The for’rard end, mum.”"
"2280",""
"2281","“Which side of a tree does the moss grow on?”"
"2282",""
"2283","“North side.”"
"2284",""
"2285","“If fifteen cows is browsing on a hillside, how many of them eats with"
"2286","their heads pointed the same direction?”"
"2287",""
"2288","“The whole fifteen, mum.”"
"2289",""
"2290","“Well, I reckon you _have_ lived in the country. I thought maybe you"
"2291","was trying to hocus me again. What’s your real name, now?”"
"2292",""
"2293","“George Peters, mum.”"
"2294",""
"2295","“Well, try to remember it, George. Don’t forget and tell me it’s"
"2296","Elexander before you go, and then get out by saying it’s George"
"2297","Elexander when I catch you. And don’t go about women in that old"
"2298","calico. You do a girl tolerable poor, but you might fool men, maybe."
"2299","Bless you, child, when you set out to thread a needle don’t hold the"
"2300","thread still and fetch the needle up to it; hold the needle still and"
"2301","poke the thread at it; that’s the way a woman most always does, but a"
"2302","man always does t’other way. And when you throw at a rat or anything,"
"2303","hitch yourself up a tiptoe and fetch your hand up over your head as"
"2304","awkward as you can, and miss your rat about six or seven foot. Throw"
"2305","stiff-armed from the shoulder, like there was a pivot there for it to"
"2306","turn on, like a girl; not from the wrist and elbow, with your arm out"
"2307","to one side, like a boy. And, mind you, when a girl tries to catch"
"2308","anything in her lap she throws her knees apart; she don’t clap them"
"2309","together, the way you did when you catched the lump of lead. Why, I"
"2310","spotted you for a boy when you was threading the needle; and I"
"2311","contrived the other things just to make certain. Now trot along to your"
"2312","uncle, Sarah Mary Williams George Elexander Peters, and if you get into"
"2313","trouble you send word to Mrs. Judith Loftus, which is me, and I’ll do"
"2314","what I can to get you out of it. Keep the river road all the way, and"
"2315","next time you tramp take shoes and socks with you. The river road’s a"
"2316","rocky one, and your feet’ll be in a condition when you get to Goshen, I"
